day_index,date,return,operating_cost_cny,objective_cny,emission_kg,renewable_available_kwh,renewable_curtailed_kwh,renewable_utilization,infeasible_hours,slack_energy_kwh,terminal_gap_kwh,action_correction_rate,max_balance_residual_kw,decision_median_ms,decision_p95_ms
0,2025-02-21,-5.798262311785415,5433.999571246912,5798.262311785414,4184.363877077456,4244.445519,0.0,1.0,0,0.0,181.43395281288977,0.041666666666666664,7.105427357601002e-14,0.47805450049054343,1.785815000630463
1,2025-02-22,-5.5358046384511965,5162.153885175133,5535.804638451196,3987.9420216739063,4034.2249899999997,0.0,1.0,0,0.0,184.58731635728552,0.041666666666666664,5.684341886080802e-14,0.45898350026618573,0.806862550007281
2,2025-02-23,-5.7668520171651245,5389.1194331320485,5766.852017165125,4193.2855232490165,3647.5223319999996,0.0,1.0,0,0.0,186.78923709131777,0.041666666666666664,7.105427357601002e-14,0.4552400000648049,0.599211349936013
3,2025-02-24,-4.303650598855815,3893.8057122534674,4303.650598855815,2986.740692094286,3763.64321,0.0,1.0,0,0.0,194.39786017166546,0.041666666666666664,7.105427357601002e-14,0.4461144999368116,0.8908128000257419
4,2025-02-25,-5.93352699250029,5568.213018087133,5933.526992500289,4370.975370843618,3977.198784,0.0,1.0,0,0.0,182.32918633152968,0.041666666666666664,7.815970093361102e-14,0.5315579996931774,1.2265489499895914
5,2025-02-26,-3.8221002172059255,3417.5978675276338,3822.1002172059257,2712.2558894596177,4215.828616,0.0,1.0,0,0.0,192.01366176117995,0.041666666666666664,7.815970093361102e-14,0.4141119998166687,0.5562260997976409
6,2025-02-27,-4.071563129153073,3660.5274791664397,4071.563129153074,2917.411258225101,3883.0336399999997,0.0,1.0,0,0.0,194.1267203839348,0.041666666666666664,5.684341886080802e-14,0.45000500040259794,1.220576249488657
7,2025-02-28,-5.161726426523527,4776.926595598412,5161.726426523528,3861.0289861500805,3642.777212,0.0,1.0,0,0.0,188.93521135226882,0.041666666666666664,7.815970093361102e-14,0.43839650015797815,0.640063449691297
8,2025-03-01,-4.373980943169116,3982.724987450366,4373.980943169116,3209.594008445739,4084.676445,0.0,1.0,0,0.0,189.666976804894,0.041666666666666664,7.105427357601002e-14,0.43841649994647014,0.589791850234178
