day_index,date,return,operating_cost_cny,objective_cny,emission_kg,renewable_available_kwh,renewable_curtailed_kwh,renewable_utilization,infeasible_hours,slack_energy_kwh,terminal_gap_kwh,action_correction_rate,max_balance_residual_kw,decision_median_ms,decision_p95_ms
0,2025-02-21,-6.093003127898061,5682.401332700336,6093.0031278980605,4321.046143350635,4244.445519,0.0,1.0,0,0.0,204.1310605689099,0.041666666666666664,7.105427357601002e-14,0.45875700016040355,0.9883936992991942
1,2025-02-22,-5.83478849427254,5411.554689936537,5834.7884942725395,4125.199654741931,4034.2249899999997,0.0,1.0,0,0.0,208.8470404838261,0.041666666666666664,5.684341886080802e-14,0.39488699985668063,0.9064753498932986
2,2025-02-23,-6.059669849551902,5639.269056628405,6059.669849551902,4331.16159871329,3647.5223319999996,0.0,1.0,0,0.0,207.5711899744837,0.041666666666666664,7.105427357601002e-14,0.333807500283001,0.7642035503977237
3,2025-02-24,-4.515691642774048,4034.8958925602715,4515.691642774048,3050.057366373081,3763.64321,0.0,1.0,0,0.0,232.4091876933449,0.041666666666666664,7.105427357601002e-14,0.2993934995174641,0.39312635003625473
4,2025-02-25,-6.221850695603511,5816.048570382376,6221.850695603512,4507.249540684912,3977.198784,0.0,1.0,0,0.0,202.1388912953829,0.041666666666666664,7.815970093361102e-14,0.306058999740344,0.41594809986236214
5,2025-02-26,-4.039467786954182,3550.613830339105,4039.4677869541815,2769.594642978085,4215.828616,0.0,1.0,0,0.0,236.92469413029514,0.041666666666666664,7.815970093361102e-14,0.3011444996445789,0.48566790010227107
6,2025-02-27,-4.273638493534523,3789.8583708605097,4273.638493534523,2972.605178508309,3883.0336399999997,0.0,1.0,0,0.0,233.38394751046826,0.041666666666666664,7.815970093361102e-14,0.28588750001290464,0.39024470029289654
7,2025-02-28,-5.451925871810817,5013.031648275136,5451.925871810817,3988.8777607148204,3642.777212,0.0,1.0,0,0.0,215.78758993274297,0.041666666666666664,7.815970093361102e-14,0.32395449989053304,0.5224176496994914
8,2025-03-01,-4.653316890240797,4188.268030643339,4653.316890240797,3316.1465431441616,4084.676445,0.0,1.0,0,0.0,227.19882089840743,0.041666666666666664,7.105427357601002e-14,0.299051000183681,0.45808045010744536
