day_index,date,return,operating_cost_cny,objective_cny,emission_kg,renewable_available_kwh,renewable_curtailed_kwh,renewable_utilization,infeasible_hours,slack_energy_kwh,terminal_gap_kwh,action_correction_rate,max_balance_residual_kw,decision_median_ms,decision_p95_ms
0,2025-02-21,-4.888810711394173,4888.810711201427,4888.810711394173,4252.023376908991,4244.445519,0.0,1.0,0,0.0,0.0,0.041666666666666664,5.684341886080802e-14,0.018536499737820122,0.06947685010345588
1,2025-02-22,-4.609173729064035,4609.173728896125,4609.173729064036,4033.385436470617,4034.2249899999997,0.0,1.0,0,0.0,0.0,0.041666666666666664,7.815970093361102e-14,0.016406499526055995,0.02621289968374185
2,2025-02-23,-4.836363509043059,4836.36350887435,4836.363509043058,4241.701534814909,3647.5223319999996,0.0,1.0,0,0.0,0.0,0.041666666666666664,7.105427357601002e-14,0.01638650019231136,0.0347686003806302
3,2025-02-24,-3.216023062727408,3216.0230624720825,3216.0230627274077,2888.743721808738,3763.64321,0.0,1.0,0,0.0,0.0,0.041666666666666664,4.973799150320701e-14,0.01692549994913861,0.04567335026877115
4,2025-02-25,-5.018708932476011,5018.70893225659,5018.708932476011,4442.601669514617,3977.198784,0.0,1.0,0,0.0,0.0,0.041666666666666664,7.815970093361102e-14,0.016701500044291606,0.022571950057681534
5,2025-02-26,-2.7785950495338243,2778.595049270183,2778.595049533824,2638.7256512221993,4215.828616,0.0,1.0,0,0.0,0.0,0.041666666666666664,1.0658141036401503e-13,0.0164389998644765,0.02543719974710256
6,2025-02-27,-3.0058255418168165,3005.8255416698908,3005.8255418168164,2829.0121731217196,3883.0336399999997,0.0,1.0,0,0.0,0.0,0.041666666666666664,5.684341886080802e-14,0.017346999811707065,0.0417567000567942
7,2025-02-28,-4.244936611120751,4244.936610949602,4244.936611120751,3900.3523400969543,3642.777212,0.0,1.0,0,0.0,0.0,0.041666666666666664,7.815970093361102e-14,0.016947500171227148,0.03585345043575214
8,2025-03-01,-3.4148478962009308,3414.8478959683807,3414.8478962009303,3208.461192037423,4084.676445,0.0,1.0,0,0.0,0.0,0.041666666666666664,5.684341886080802e-14,0.017386500530847115,0.05409940035860923
